,date,key-rate,inflation,dollar_rate
0,2025-09-01,17.0,7.98,80.4261
1,2025-08-01,18.0,8.14,80.3163
2,2025-07-01,18.0,8.79,78.5284
3,2025-06-01,20.0,9.4,79.1285
4,2025-05-01,21.0,9.88,81.4933
5,2025-04-01,21.0,10.23,85.4963
6,2025-03-01,21.0,10.34,88.2568
7,2025-02-01,21.0,10.06,97.8107
8,2025-01-01,21.0,9.92,102.2911
9,2024-12-01,21.0,9.52,107.1758
10,2024-11-01,21.0,8.88,97.0226
11,2024-10-01,21.0,8.54,93.2221
12,2024-09-01,19.0,8.63,90.0013
13,2024-08-01,18.0,9.05,86.1091
14,2024-07-01,18.0,9.13,87.2972
15,2024-06-01,16.0,8.59,90.1915
16,2024-05-01,16.0,8.3,92.0538
17,2024-04-01,16.0,7.84,92.2914
18,2024-03-01,16.0,7.72,90.8423
19,2024-02-01,16.0,7.69,89.6678
20,2024-01-01,16.0,7.44,90.404
21,2023-12-01,16.0,7.42,88.5819
22,2023-11-01,15.0,7.48,92.0226
23,2023-10-01,15.0,6.69,98.4785
24,2023-09-01,13.0,6.0,96.3344
25,2023-08-01,12.0,5.15,91.5923
26,2023-07-01,8.5,4.3,88.3844
27,2023-06-01,7.5,3.25,80.9942
28,2023-05-01,7.5,2.51,79.9609
29,2023-04-01,7.5,2.31,77.3233
30,2023-03-01,7.5,3.51,74.8932
31,2023-02-01,7.5,10.99,70.5174
32,2023-01-01,7.5,11.77,70.3002
33,2022-12-01,7.5,11.94,60.8803
34,2022-11-01,7.5,11.98,61.6229
35,2022-10-01,7.5,12.63,55.2987
36,2022-09-01,7.5,13.68,60.2386
37,2022-08-01,8.0,14.3,62.0506
38,2022-07-01,8.0,15.1,52.5123
39,2022-06-01,9.5,15.9,61.6069
40,2022-05-01,11.0,17.1,69.416
41,2022-04-01,17.0,17.83,83.4097
42,2022-03-01,20.0,16.69,93.5589
43,2022-02-01,20.0,9.15,77.4702
44,2022-01-01,8.5,8.73,75.1315
45,2021-12-01,8.5,8.39,74.8926
46,2021-11-01,7.5,8.4,71.0863
47,2021-10-01,7.5,8.13,72.6642
48,2021-09-01,6.75,7.4,73.2781
49,2021-08-01,6.5,6.68,73.0156
50,2021-07-01,6.5,6.5,72.7234
51,2021-06-01,5.5,6.5,73.2965
52,2021-05-01,5.0,6.0,74.8451
53,2021-04-01,5.0,5.5,75.6373
54,2021-03-01,4.5,5.8,74.0448
55,2021-02-01,4.25,5.7,75.5053
56,2021-01-01,4.25,5.2,73.8757
57,2020-12-01,4.25,4.9,76.1999
58,2020-11-01,4.25,4.4,80.5749
59,2020-10-01,4.25,4.0,78.7847
60,2020-09-01,4.25,3.7,73.8039
61,2020-08-01,4.25,3.6,73.4261
62,2020-07-01,4.25,3.4,70.4413
63,2020-06-01,4.5,3.2,69.7114
64,2020-05-01,5.5,3.0,72.7263
65,2020-04-01,5.5,3.1,76.4074
66,2020-03-01,6.0,2.5,66.3274
67,2020-02-01,6.0,2.3,63.1385
68,2020-01-01,6.25,2.4,61.9057
69,2019-12-01,6.25,3.0,64.4097
70,2019-11-01,6.5,3.5,63.7748
71,2019-10-01,6.5,3.8,64.6407
72,2019-09-01,7.0,4.0,66.6235
73,2019-08-01,7.25,4.3,63.4172
74,2019-07-01,7.25,4.6,63.0541
75,2019-06-01,7.5,4.7,65.3834
76,2019-05-01,7.75,5.1,64.6314
77,2019-04-01,7.75,5.2,65.4176
78,2019-03-01,7.75,5.3,65.8895
79,2019-02-01,7.75,5.2,65.3577
80,2019-01-01,7.75,5.0,67.0795
81,2018-12-01,7.75,4.3,66.5335
82,2018-11-01,7.5,3.8,65.5962
83,2018-10-01,7.5,3.5,65.5745
84,2018-09-01,7.5,3.4,68.0447
85,2018-08-01,7.25,3.1,62.3497
86,2018-07-01,7.25,2.5,63.1394
87,2018-06-01,7.25,2.3,62.0188
88,2018-05-01,7.25,2.4,63.486
89,2018-04-01,7.25,2.4,57.285
90,2018-03-01,7.25,2.4,56.3742
91,2018-02-01,7.5,2.2,56.184
92,2018-01-01,7.75,2.2,57.0463
93,2017-12-01,7.75,2.5,58.5814
94,2017-11-01,8.25,2.5,58.1179
95,2017-10-01,8.25,2.7,57.8134
96,2017-09-01,8.5,3.0,58.5454
97,2017-08-01,9.0,3.3,60.0633
98,2017-07-01,9.0,3.9,59.3862
99,2017-06-01,9.0,4.4,56.6876
100,2017-05-01,9.25,4.1,56.9518
101,2017-04-01,9.75,4.1,55.9606
102,2017-03-01,9.75,4.3,57.9627
103,2017-02-01,10.0,4.6,60.0851
104,2017-01-01,10.0,5.0,59.8961
105,2016-12-01,10.0,5.4,65.2382
106,2016-11-01,10.0,5.8,63.2174
107,2016-10-01,10.0,6.1,63.396
108,2016-09-01,10.0,6.4,65.2535
109,2016-08-01,10.5,6.9,65.9553
110,2016-07-01,10.5,7.2,64.1755
111,2016-06-01,10.5,7.5,65.9962
112,2016-05-01,11.0,7.3,66.1718
113,2016-04-01,11.0,7.3,67.8552
114,2016-03-01,11.0,7.3,75.8994
115,2016-02-01,11.0,8.1,76.3264
116,2016-01-01,11.0,9.8,72.9299
117,2015-12-01,11.0,12.9,66.737
118,2015-11-01,11.0,15.0,63.7993
119,2015-10-01,11.0,15.6,65.7364
120,2015-09-01,11.0,15.7,66.7152
121,2015-08-01,11.0,15.8,60.3458
122,2015-07-01,11.5,15.6,55.8413
123,2015-06-01,11.5,15.3,52.8213
124,2015-05-01,12.5,15.8,51.1388
125,2015-04-01,14.0,16.4,57.65
126,2015-03-01,14.0,16.9,62.2248
127,2015-02-01,15.0,16.7,69.664
128,2015-01-01,17.0,14.96,56.2376
129,2014-12-01,17.0,11.35,51.8068
130,2014-11-01,9.5,9.06,41.9627
131,2014-10-01,8.0,8.29,39.3836
132,2014-09-01,8.0,8.03,37.2945
133,2014-08-01,8.0,7.55,35.4438
134,2014-07-01,8.0,7.45,33.8434
135,2014-06-01,7.5,7.81,34.8887
136,2014-05-01,7.5,7.59,35.7227
137,2014-04-01,7.5,7.33,35.6053
138,2014-03-01,7.0,6.92,36.1847
139,2014-02-01,5.5,6.21,35.18
140,2014-01-01,5.5,6.07,32.6587
141,2013-12-01,5.5,6.47,33.1482
142,2013-11-01,5.5,6.5,32.0758
143,2013-10-01,5.5,6.27,32.4839
144,2013-09-01,5.5,6.14,33.2522
